libxpm4:amd64	1:3.5.11-1+b1
libxrandr2:amd64	2:1.5.0-1
libxrender1:amd64	1:0.9.9-2
libxshmfence1:amd64	1.2-1
libxslt1.1:amd64	1.1.28-2.1
libxss1:amd64	1:1.2.2-1
libxt6:amd64	1:1.1.5-1
libxtst6:amd64	2:1.2.2-1+b1
libxv1:amd64	2:1.0.10-1+b1
libxvmc1:amd64	2:1.0.9-1
libxxf86dga1:amd64	2:1.1.4-1+b1
libxxf86vm1:amd64	1:1.1.4-1
linux-base	4.0
linux-image-4.3.0-1-amd64	4.3.5-1
live-boot	4.0.2-1.drbl6
live-boot-initramfs-tools	4.0.2-1.drbl6
live-config	4.0.4-1.drbl6
live-config-systemd	4.0.4-1.drbl6
live-tools	1:20151214
localepurge	0.7.3.4
locales	2.21-8
login	1:4.2-3.1
lsb-base	9.20160110
lshw	02.17-1.1+b1
lsof	4.89+dfsg-0.1
lsscsi	0.27-3
lvm2	2.02.141-2
lxmenu-data	0.1.4-1
lxrandr	0.3.0-1
lxterminal	0.2.0-1
man-db	2.7.5-1
mawk	1.3.3-17
mbr	1.1.11-5+b1
mc	3:4.8.15-2
mc-data	3:4.8.15-2
mdadm	3.3.4-1.1+b1
mdetect	0.5.2.4
menu	2.1.47
mount	2.27.1-3
mtools	4.0.18-2
multiarch-support	2.21-8
nano	2.5.2-1
ncurses-base	6.0+20151024-2
ncurses-bin	6.0+20151024-2
ncurses-term	6.0+20151024-2
net-tools	1.60+git20150829.73cef8a-2
netbase	5.3
netpbm	2:10.0-15.3
netsurf-common	3.2+dfsg-2.2
netsurf-gtk	3.2+dfsg-2.2+b1
nilfs-tools	2.2.3-2
ntfs-3g	1:2015.3.14AR.1-1+b1
open-iscsi	2.0.873+git0.3b4b4500-13
openssh-client	1:7.1p2-2
openssh-server	1:7.1p2-2
openssh-sftp-server	1:7.1p2-2
partclone	0.2.87-drbl2
parted	3.2-15
partimage	0.6.8-3+b1
passwd	1:4.2-3.1
pciutils	1:3.3.1-1.1
pcmanfm	1.2.3-1.1
perl-base	5.22.1-7
policykit-1	0.105-14.1
ppp	2.4.7-1+2
pppoeconf	1.21
procps	2:3.3.11-3
psmisc	22.21-2.1+b1
readline-common	6.3-8
reiser4progs	1.1.0-1.1
reiserfsprogs	1:3.6.24-3.1
rsync	3.1.1-3
samba-common	2:4.3.3+dfsg-2
screen	4.3.1-2
sdparm	1.08-1
sed	4.2.2-7
sensible-utils	0.0.9
shared-mime-info	1.5-2
smartmontools	6.4+svn4214-1
ssh	1:7.1p2-2
startpar	0.59-3
sudo	1.8.15-1.1
syslinux	3:6.03+dfsg-11
syslinux-common	3:6.03+dfsg-11
syslinux-efi	3:6.03+dfsg-11
syslinux-utils	3:6.03+dfsg-11
systemd	229-1
systemd-sysv	229-1
sysv-rc	2.88dsf-59.3
sysvinit-utils	2.88dsf-59.3
tar	1.28-2.1
tcplay	1.1-2
telnet	0.17-40+b1
testdisk	7.0-1
traceroute	1:2.0.21-1
tree	1.7.0-3
tzdata	2016a-1
ucf	3.0035
udev	229-1
unzip	6.0-20
user-setup	1.64
util-linux	2.27.1-3
v86d	0.1.10-1
vim-common	2:7.4.963-1+b1
vim-tiny	2:7.4.963-1+b1
w3m	0.5.3-26
wget	1.17.1-1+b1
whiptail	0.52.18-2
x11-apps	7.7+5+nmu1
x11-common	1:7.7+13
x11-session-utils	7.7+2
x11-utils	7.7+3
x11-xkb-utils	7.7+2
x11-xserver-utils	7.7+5
xauth	1:1.0.9-1
xbase-clients	1:7.7+13
xfonts-base	1:1.0.4+nmu1
xfonts-encodings	1:1.0.4-2
xfonts-utils	1:7.7+3
xfsdump	3.1.6+nmu1
xfsprogs	4.3.0+nmu1
xinit	1.3.4-3
xkb-data	2.16-1
xserver-common	2:1.18.1-1
xserver-xorg	1:7.7+13
xserver-xorg-core	2:1.18.1-1
xserver-xorg-input-all	1:7.7+13
xserver-xorg-input-evdev	1:2.10.1-1+b1
xserver-xorg-input-mouse	1:1.9.1-1+b1
xserver-xorg-input-synaptics	1.8.3-1+b1
xserver-xorg-input-vmmouse	1:13.1.0-1+b1
xserver-xorg-video-all	1:7.7+13
xserver-xorg-video-amdgpu	1.0.0-1+b1
xserver-xorg-video-ati	1:7.6.1-1+b1
xserver-xorg-video-fbdev	1:0.4.4-1+b4
xserver-xorg-video-intel	2:2.99.917+git20160127-1+b1
xserver-xorg-video-nouveau	1:1.0.12-1+b1
xserver-xorg-video-radeon	1:7.6.1-1+b1
xserver-xorg-video-vesa	1:2.3.4-1+b1
xserver-xorg-video-vmware	1:13.1.0-2+b1
xz-utils	5.1.1alpha+20120614-2.1
zenity	3.18.1.1-1
zenity-common	3.18.1.1-1
zerofree	1.0.3-1
zip	3.0-11
zlib1g:amd64	1:1.2.8.dfsg-2+b1
